발표일자,예보지점 X 좌표,예보지점 Y 좌표,자료구분코드,실황 값
2024-05-14,63,90,PTY,0
2024-05-14,63,90,REH,60
2024-05-14,63,90,RN1,0
2024-05-14,63,90,T1H,17.1
2024-05-14,63,90,UUU,0.4
2024-05-14,60,91,PTY,0
2024-05-14,63,90,VEC,219
2024-05-14,63,89,WSD,0.6
2024-05-14,63,89,VVV,0.5
2024-05-14,63,90,WSD,0.6
2024-05-14,63,90,VVV,0.5
2024-05-14,52,85,RN1,0
2024-05-14,52,85,REH,78
2024-05-14,52,85,PTY,0
2024-05-14,56,87,WSD,1
2024-05-14,56,87,VVV,0.9
2024-05-14,56,87,VEC,156
2024-05-14,56,87,UUU,-0.3
2024-05-14,56,87,T1H,15.6
2024-05-14,56,87,RN1,0
2024-05-14,56,87,REH,74
2024-05-14,56,87,PTY,0
2024-05-14,52,85,T1H,16.9
2024-05-14,52,85,VEC,108
2024-05-14,52,85,VVV,0.5
2024-05-14,52,85,WSD,1.6
2024-05-14,52,85,UUU,-1.4
2024-05-14,58,83,PTY,0
2024-05-14,58,83,REH,60
2024-05-14,58,83,RN1,0
2024-05-14,58,83,T1H,16.3
2024-05-14,58,83,UUU,0.1
2024-05-14,58,83,VEC,354
2024-05-14,58,83,VVV,-0.9
2024-05-14,58,83,WSD,1
2024-05-14,63,90,WSD,0.5
2024-05-14,63,90,VVV,0.5
2024-05-14,63,90,VEC,158
2024-05-14,63,90,UUU,-0.1
2024-05-14,63,90,T1H,16.8
2024-05-14,63,90,RN1,0
2024-05-14,63,90,REH,62
2024-05-14,63,90,PTY,0
2024-05-14,60,91,WSD,0.5
2024-05-14,60,91,VVV,0
2024-05-14,60,91,VEC,79
2024-05-14,60,91,UUU,-0.4
2024-05-14,60,91,T1H,15.4
2024-05-14,60,91,RN1,0
2024-05-14,56,92,PTY,0
2024-05-14,56,92,REH,78
2024-05-14,56,92,UUU,-1.1
2024-05-14,59,88,WSD,0.6
2024-05-14,59,88,VVV,0.6
2024-05-14,59,88,VEC,171
2024-05-14,59,88,UUU,0
2024-05-14,59,88,T1H,16.3
2024-05-14,59,88,RN1,0
2024-05-14,59,88,REH,62
2024-05-14,59,88,PTY,0
2024-05-14,56,92,WSD,2
2024-05-14,56,92,VVV,1.6
2024-05-14,56,92,VEC,143
2024-05-14,60,91,PTY,0
2024-05-14,56,92,T1H,14.6
2024-05-14,56,92,RN1,0
2024-05-14,60,91,REH,67
2024-05-14,63,89,WSD,0.5
2024-05-14,63,89,VVV,0.5
2024-05-14,63,89,VEC,158
2024-05-14,63,89,UUU,-0.1
2024-05-14,63,89,T1H,16.8
2024-05-14,63,89,REH,62
2024-05-14,63,89,PTY,0
2024-05-14,63,89,RN1,0
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,81
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,16.2
2024-05-14,52,85,UUU,-1.2
2024-05-14,52,85,VEC,122
2024-05-14,52,85,VVV,0.8
2024-05-14,52,85,WSD,1.5
2024-05-14,56,87,VEC,153
2024-05-14,56,87,WSD,0.7
2024-05-14,56,87,VVV,0.6
2024-05-14,56,87,RN1,0
2024-05-14,56,87,UUU,-0.2
2024-05-14,56,87,T1H,15.1
2024-05-14,59,88,PTY,0
2024-05-14,56,92,WSD,1.8
2024-05-14,56,92,VVV,1.4
2024-05-14,56,92,VEC,142
2024-05-14,56,92,UUU,-1
2024-05-14,56,92,T1H,14.4
2024-05-14,56,92,RN1,0
2024-05-14,56,92,REH,82
2024-05-14,58,83,RN1,0
2024-05-14,58,83,T1H,15.8
2024-05-14,58,83,UUU,-0.4
2024-05-14,58,83,VEC,36
2024-05-14,58,83,VVV,-0.6
2024-05-14,58,83,WSD,0.9
2024-05-14,56,92,PTY,0
2024-05-14,59,88,REH,64
2024-05-14,59,88,RN1,0
2024-05-14,58,83,PTY,0
2024-05-14,58,83,REH,63
2024-05-14,56,87,REH,72
2024-05-14,56,87,PTY,0
2024-05-14,59,88,WSD,0.4
2024-05-14,59,88,VVV,0.1
2024-05-14,59,88,VEC,104
2024-05-14,59,88,UUU,-0.3
2024-05-14,59,88,T1H,16.3
2024-05-14,63,90,RN1,0
2024-05-14,63,90,T1H,16.1
2024-05-14,63,90,UUU,0.2
2024-05-14,63,90,VEC,202
2024-05-14,63,90,VVV,0.5
2024-05-14,63,90,WSD,0.5
2024-05-14,63,90,PTY,0
2024-05-14,63,90,REH,63
2024-05-14,60,91,REH,65
2024-05-14,60,91,RN1,0
2024-05-14,60,91,T1H,14.6
2024-05-14,60,91,UUU,-0.7
2024-05-14,60,91,VEC,90
2024-05-14,60,91,VVV,0
2024-05-14,60,91,WSD,0.8
2024-05-14,60,91,PTY,0
2024-05-14,63,89,VVV,0.5
2024-05-14,63,89,VEC,202
2024-05-14,63,89,UUU,0.2
2024-05-14,63,89,T1H,16.1
2024-05-14,63,89,RN1,0
2024-05-14,63,89,REH,63
2024-05-14,63,89,PTY,0
2024-05-14,63,89,WSD,0.5
2024-05-14,52,85,UUU,-1.2
2024-05-14,52,85,WSD,1.4
2024-05-14,52,85,VVV,0.5
2024-05-14,52,85,VEC,111
2024-05-14,52,85,T1H,15.3
2024-05-14,52,85,RN1,0
2024-05-14,59,88,VVV,0.4
2024-05-14,59,88,VEC,124
2024-05-14,59,88,UUU,-0.5
2024-05-14,59,88,T1H,16.2
2024-05-14,59,88,RN1,0
2024-05-14,59,88,REH,64
2024-05-14,56,92,REH,80
2024-05-14,56,92,PTY,0
2024-05-14,58,83,WSD,0.8
2024-05-14,58,83,PTY,0
2024-05-14,58,83,REH,66
2024-05-14,58,83,RN1,0
2024-05-14,58,83,T1H,14.8
2024-05-14,58,83,UUU,-0.3
2024-05-14,58,83,VEC,30
2024-05-14,58,83,VVV,-0.6
2024-05-14,59,88,WSD,0.7
2024-05-14,56,87,PTY,0
2024-05-14,56,87,REH,72
2024-05-14,56,92,RN1,0
2024-05-14,56,92,T1H,14
2024-05-14,56,92,UUU,-1.1
2024-05-14,56,92,VEC,141
2024-05-14,56,92,VVV,1.5
2024-05-14,56,92,WSD,1.9
2024-05-14,59,88,PTY,0
2024-05-14,52,85,REH,82
2024-05-14,52,85,PTY,0
2024-05-14,56,87,WSD,0.9
2024-05-14,56,87,VVV,0.8
2024-05-14,56,87,VEC,153
2024-05-14,56,87,UUU,-0.3
2024-05-14,56,87,T1H,14.6
2024-05-14,56,87,RN1,0
2024-05-14,60,91,RN1,0
2024-05-14,60,91,REH,69
2024-05-14,60,91,PTY,0
2024-05-14,63,89,WSD,0.5
2024-05-14,63,89,VVV,0.5
2024-05-14,63,89,VEC,202
2024-05-14,63,89,UUU,0.2
2024-05-14,63,89,T1H,15.4
2024-05-14,63,89,RN1,0
2024-05-14,63,89,REH,67
2024-05-14,63,89,PTY,0
2024-05-14,60,91,T1H,14.2
2024-05-14,60,91,UUU,-0.2
2024-05-14,60,91,VEC,90
2024-05-14,63,90,UUU,0.2
2024-05-14,63,90,WSD,0.5
2024-05-14,63,90,VVV,0.5
2024-05-14,63,90,VEC,202
2024-05-14,63,90,T1H,15.4
2024-05-14,63,90,RN1,0
2024-05-14,63,90,REH,67
2024-05-14,63,90,PTY,0
2024-05-14,60,91,WSD,0.3
2024-05-14,60,91,VVV,0
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,87
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,14.5
2024-05-14,52,85,UUU,-0.1
2024-05-14,52,85,VEC,90
2024-05-14,52,85,VVV,0
2024-05-14,52,85,WSD,0.2
2024-05-14,56,87,PTY,0
2024-05-14,56,87,REH,73
2024-05-14,56,87,RN1,0
2024-05-14,56,87,T1H,14.2
2024-05-14,56,87,UUU,0
2024-05-14,56,87,VEC,172
2024-05-14,56,87,VVV,0.7
2024-05-14,56,87,WSD,0.7
2024-05-14,59,88,PTY,0
2024-05-14,59,88,REH,67
2024-05-14,59,88,RN1,0
2024-05-14,59,88,T1H,15.1
2024-05-14,59,88,UUU,-0.7
2024-05-14,59,88,VEC,122
2024-05-14,59,88,VVV,0.5
2024-05-14,59,88,WSD,0.9
2024-05-14,56,92,WSD,1.7
2024-05-14,56,92,VVV,1.2
2024-05-14,56,92,VEC,135
2024-05-14,56,92,UUU,-1.1
2024-05-14,56,92,T1H,13.5
2024-05-14,56,92,RN1,0
2024-05-14,56,92,REH,82
2024-05-14,56,92,PTY,0
2024-05-14,58,83,PTY,0
2024-05-14,58,83,REH,71
2024-05-14,58,83,RN1,0
2024-05-14,58,83,T1H,14.1
2024-05-14,58,83,UUU,0
2024-05-14,58,83,VEC,360
2024-05-14,58,83,VVV,-0.4
2024-05-14,58,83,WSD,0.5
2024-05-14,63,89,PTY,0
2024-05-14,63,89,REH,68
2024-05-14,63,89,RN1,0
2024-05-14,63,89,T1H,14.8
2024-05-14,63,89,UUU,-0.1
2024-05-14,63,89,VEC,164
2024-05-14,63,89,VVV,0.7
2024-05-14,63,89,WSD,0.7
2024-05-14,60,91,PTY,0
2024-05-14,60,91,REH,69
2024-05-14,60,91,RN1,0
2024-05-14,60,91,T1H,13.8
2024-05-14,60,91,UUU,-0.4
2024-05-14,60,91,VEC,79
2024-05-14,60,91,VVV,0
2024-05-14,60,91,WSD,0.5
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,89
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,13.5
2024-05-14,52,85,UUU,-1
2024-05-14,52,85,VEC,114
2024-05-14,52,85,VVV,0.5
2024-05-14,52,85,WSD,1.2
2024-05-14,56,87,WSD,0.8
2024-05-14,56,87,VVV,0.7
2024-05-14,56,87,VEC,150
2024-05-14,56,87,UUU,-0.3
2024-05-14,56,87,T1H,13.9
2024-05-14,56,87,RN1,0
2024-05-14,56,87,REH,74
2024-05-14,56,87,PTY,0
2024-05-14,59,88,PTY,0
2024-05-14,59,88,REH,69
2024-05-14,59,88,RN1,0
2024-05-14,59,88,T1H,14.4
2024-05-14,59,88,UUU,-0.8
2024-05-14,59,88,VEC,124
2024-05-14,59,88,VVV,0.6
2024-05-14,59,88,WSD,1.1
2024-05-14,56,92,WSD,1.3
2024-05-14,56,92,VVV,0.7
2024-05-14,56,92,VEC,122
2024-05-14,56,92,UUU,-1
2024-05-14,56,92,PTY,0
2024-05-14,56,92,T1H,13.1
2024-05-14,56,92,RN1,0
2024-05-14,56,92,REH,87
2024-05-14,58,83,WSD,0.4
2024-05-14,58,83,VVV,-0.3
2024-05-14,58,83,VEC,14
2024-05-14,58,83,UUU,0
2024-05-14,58,83,T1H,13.6
2024-05-14,58,83,RN1,0
2024-05-14,58,83,REH,73
2024-05-14,58,83,PTY,0
2024-05-14,60,91,RN1,0
2024-05-14,60,91,REH,72
2024-05-14,60,91,PTY,0
2024-05-14,63,89,WSD,0.8
2024-05-14,63,89,VVV,0.4
2024-05-14,63,89,VEC,120
2024-05-14,63,89,UUU,-0.6
2024-05-14,63,89,T1H,14.7
2024-05-14,63,89,RN1,0
2024-05-14,63,89,REH,68
2024-05-14,63,89,PTY,0
2024-05-14,60,91,T1H,13.1
2024-05-14,60,91,UUU,-0.7
2024-05-14,60,91,VEC,83
2024-05-14,60,91,VVV,0
2024-05-14,60,91,WSD,0.8
2024-05-14,63,90,PTY,0
2024-05-14,63,90,REH,68
2024-05-14,63,90,RN1,0
2024-05-14,63,90,T1H,14.7
2024-05-14,63,90,UUU,-0.6
2024-05-14,63,90,VEC,120
2024-05-14,63,90,VVV,0.4
2024-05-14,63,90,WSD,0.8
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,90
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,12.8
2024-05-14,52,85,UUU,-0.4
2024-05-14,52,85,VEC,101
2024-05-14,52,85,VVV,0.1
2024-05-14,52,85,WSD,0.5
2024-05-14,56,87,WSD,1.1
2024-05-14,56,87,VEC,153
2024-05-14,56,87,VVV,1
2024-05-14,56,87,PTY,0
2024-05-14,56,87,REH,74
2024-05-14,56,87,RN1,0
2024-05-14,56,87,T1H,13.5
2024-05-14,56,87,UUU,-0.4
2024-05-14,59,88,UUU,-1.1
2024-05-14,59,88,T1H,14
2024-05-14,59,88,RN1,0
2024-05-14,59,88,PTY,0
2024-05-14,59,88,REH,73
2024-05-14,59,88,VEC,127
2024-05-14,59,88,VVV,0.9
2024-05-14,59,88,WSD,1.5
2024-05-14,56,92,PTY,0
2024-05-14,56,92,REH,89
2024-05-14,56,92,RN1,0
2024-05-14,56,92,T1H,12.5
2024-05-14,56,92,UUU,-1.3
2024-05-14,56,92,VEC,120
2024-05-14,56,92,VVV,0.8
2024-05-14,56,92,WSD,1.6
2024-05-14,58,83,WSD,0.1
2024-05-14,58,83,VVV,0
2024-05-14,58,83,VEC,45
2024-05-14,58,83,UUU,0
2024-05-14,58,83,T1H,12.9
2024-05-14,58,83,RN1,0
2024-05-14,58,83,REH,74
2024-05-14,58,83,PTY,0
2024-05-14,63,90,T1H,14.2
2024-05-14,63,90,RN1,0
2024-05-14,63,90,REH,70
2024-05-14,63,90,PTY,0
2024-05-14,63,90,VVV,0.2
2024-05-14,63,90,UUU,-0.5
2024-05-14,63,90,VEC,108
2024-05-14,63,90,WSD,0.6
2024-05-14,63,89,REH,70
2024-05-14,63,89,PTY,0
2024-05-14,60,91,VEC,90
2024-05-14,63,89,RN1,0
2024-05-14,63,89,T1H,14.2
2024-05-14,63,89,UUU,-0.5
2024-05-14,63,89,VEC,108
2024-05-14,63,89,VVV,0.2
2024-05-14,63,89,WSD,0.6
2024-05-14,60,91,PTY,0
2024-05-14,60,91,REH,77
2024-05-14,60,91,RN1,0
2024-05-14,60,91,T1H,12.5
2024-05-14,60,91,UUU,-1.3
2024-05-14,60,91,VVV,0
2024-05-14,60,91,WSD,1.4
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,93
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,12.2
2024-05-14,52,85,UUU,-0.6
2024-05-14,52,85,VEC,120
2024-05-14,52,85,VVV,0.4
2024-05-14,52,85,WSD,0.8
2024-05-14,56,92,REH,95
2024-05-14,56,92,RN1,0
2024-05-14,59,88,WSD,2.2
2024-05-14,59,88,VVV,1.4
2024-05-14,59,88,VEC,129
2024-05-14,59,88,UUU,-1.6
2024-05-14,59,88,T1H,13
2024-05-14,59,88,RN1,0
2024-05-14,59,88,REH,77
2024-05-14,59,88,PTY,0
2024-05-14,56,92,WSD,1.6
2024-05-14,56,92,VVV,0.9
2024-05-14,56,92,VEC,125
2024-05-14,56,92,PTY,0
2024-05-14,56,92,UUU,-1.2
2024-05-14,56,92,T1H,11.9
2024-05-14,56,87,PTY,0
2024-05-14,56,87,REH,78
2024-05-14,56,87,RN1,0
2024-05-14,56,87,T1H,13.1
2024-05-14,56,87,UUU,-0.6
2024-05-14,56,87,VEC,142
2024-05-14,56,87,VVV,0.9
2024-05-14,56,87,WSD,1.1
2024-05-14,60,91,T1H,12.2
2024-05-14,60,91,UUU,-1.1
2024-05-14,60,91,VEC,81
2024-05-14,60,91,VVV,-0.1
2024-05-14,60,91,WSD,1.2
2024-05-14,63,90,PTY,0
2024-05-14,63,90,REH,74
2024-05-14,63,90,RN1,0
2024-05-14,60,91,RN1,0
2024-05-14,60,91,REH,77
2024-05-14,60,91,PTY,0
2024-05-14,63,89,WSD,0.9
2024-05-14,63,89,VVV,0.5
2024-05-14,63,89,VEC,126
2024-05-14,63,89,UUU,-0.6
2024-05-14,63,89,T1H,13.8
2024-05-14,63,89,RN1,0
2024-05-14,63,89,REH,74
2024-05-14,63,89,PTY,0
2024-05-14,63,90,T1H,13.8
2024-05-14,63,90,UUU,-0.6
2024-05-14,58,83,WSD,0.4
2024-05-14,58,83,VVV,-0.1
2024-05-14,58,83,VEC,56
2024-05-14,58,83,UUU,-0.2
2024-05-14,58,83,T1H,12
2024-05-14,58,83,RN1,0
2024-05-14,58,83,REH,76
2024-05-14,58,83,PTY,0
2024-05-14,63,90,WSD,0.9
2024-05-14,63,90,VVV,0.5
2024-05-14,63,90,VEC,126
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,96
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,11.5
2024-05-14,52,85,UUU,0.3
2024-05-14,52,85,VEC,323
2024-05-14,52,85,VVV,-0.3
2024-05-14,52,85,WSD,0.5
2024-05-14,56,87,UUU,-0.5
2024-05-14,56,87,WSD,0.9
2024-05-14,56,87,VVV,0.7
2024-05-14,56,87,VEC,139
2024-05-14,56,87,PTY,0
2024-05-14,56,87,T1H,12.7
2024-05-14,56,87,RN1,0
2024-05-14,56,87,REH,81
2024-05-14,59,88,REH,82
2024-05-14,59,88,RN1,0
2024-05-14,59,88,T1H,12.3
2024-05-14,59,88,UUU,-1.8
2024-05-14,59,88,VEC,133
2024-05-14,59,88,VVV,1.8
2024-05-14,59,88,WSD,2.6
2024-05-14,59,88,PTY,0
2024-05-14,56,92,WSD,1.2
2024-05-14,56,92,VVV,0.7
2024-05-14,56,92,VEC,125
2024-05-14,56,92,UUU,-0.9
2024-05-14,56,92,T1H,11.4
2024-05-14,56,92,RN1,0
2024-05-14,56,92,REH,97
2024-05-14,56,92,PTY,0
2024-05-14,58,83,RN1,0
2024-05-14,58,83,PTY,0
2024-05-14,58,83,REH,80
2024-05-14,58,83,T1H,10.9
2024-05-14,58,83,UUU,0
2024-05-14,58,83,VEC,45
2024-05-14,58,83,WSD,0.1
2024-05-14,58,83,VVV,0
2024-05-14,63,90,PTY,0
2024-05-14,63,90,REH,73
2024-05-14,63,90,RN1,0
2024-05-14,63,90,T1H,13.3
2024-05-14,63,90,UUU,-0.7
2024-05-14,63,90,VEC,127
2024-05-14,63,90,VVV,0.6
2024-05-14,63,90,WSD,1
2024-05-14,60,91,RN1,0
2024-05-14,60,91,T1H,11.9
2024-05-14,60,91,UUU,-0.6
2024-05-14,60,91,VEC,60
2024-05-14,60,91,VVV,-0.3
2024-05-14,60,91,WSD,0.8
2024-05-14,60,91,PTY,0
2024-05-14,60,91,REH,77
2024-05-14,63,89,WSD,1
2024-05-14,63,89,VVV,0.6
2024-05-14,63,89,VEC,127
2024-05-14,63,89,RN1,0
2024-05-14,63,89,REH,73
2024-05-14,63,89,PTY,0
2024-05-14,63,89,T1H,13.3
2024-05-14,63,89,UUU,-0.7
2024-05-14,52,85,T1H,10.4
2024-05-14,52,85,RN1,0
2024-05-14,52,85,REH,96
2024-05-14,52,85,PTY,0
2024-05-14,52,85,UUU,-1.7
2024-05-14,52,85,VVV,1
2024-05-14,52,85,WSD,2.1
2024-05-14,52,85,VEC,119
2024-05-14,56,87,PTY,0
2024-05-14,56,87,REH,85
2024-05-14,56,87,RN1,0
2024-05-14,56,87,T1H,12.3
2024-05-14,56,87,UUU,-0.4
2024-05-14,56,87,VEC,144
2024-05-14,56,87,VVV,0.7
2024-05-14,56,87,WSD,0.9
2024-05-14,59,88,WSD,2.1
2024-05-14,59,88,VVV,1.5
